Id, Region, Country, TotalCases, TotalTests, ActiveCases
1923,Europe,Latvia,977833,0,194
1934,Europe,Moldova,620419,0,104164
1935,Europe,Estonia,618218,0,90227
1944,Europe,Bosnia and Herzegovina,402890,0,7467
1946,Europe,North Macedonia,348215,0,1471
1949,Europe,Albania,334726,0,1696
1951,Europe,Luxembourg,319959,0,2037
1953,Europe,Montenegro,291820,0,583
1962,Europe,Iceland,209191,0,-1
1975,Europe,Malta,118574,0,588
1978,Europe,Channel Islands,101717,0,168
2000,Europe,Andorra,48015,0,287
2010,Europe,Isle of Man,38008,0,-1
2012,Europe,Faeroe Islands,34658,0,-1
2022,Europe,San Marino,24247,0,24
2025,Europe,Liechtenstein,21437,0,1
2026,Europe,Gibraltar,20550,0,3858
2035,Europe,Monaco,16760,0,701
2075,Europe,Vatican City,29,0,0
2082,Europe,France,40045596,0,85269
2083,Europe,Germany,38418899,0,25565
2087,Europe,Italy,25828252,0,126475
2088,Europe,UK,24569895,0,1004
2089,Europe,Russia,22900755,0,178807
2091,Europe,Spain,13845825,0,43847
2096,Europe,Netherlands,8610372,0,0
2100,Europe,Poland,6515598,0,1060073
2102,Europe,Austria,6072229,0,6932
2103,Europe,Greece,6025776,0,6199
2104,Europe,Portugal,5582987,0,2195
2105,Europe,Ukraine,5538357,0,19743
2109,Europe,Belgium,4797108,0,9230
2112,Europe,Czechia,4641335,0,1426
2115,Europe,Switzerland,4404327,0,4109
2118,Europe,Romania,3397365,0,7241
2119,Europe,Denmark,3181366,0,786
2121,Europe,Sweden,2708137,0,3245
2122,Europe,Serbia,2538899,0,5230
2126,Europe,Hungary,2202179,0,3472
2128,Europe,Slovakia,1866647,0,335
2131,Europe,Ireland,1711233,0,2300
2133,Europe,Norway,1483639,0,474
2134,Europe,Finland,1477021,0,4607
2136,Europe,Slovenia,1343626,0,8520
2137,Europe,Lithuania,1319481,0,1431
2138,Europe,Bulgaria,1306103,0,2129
2140,Europe,Croatia,1273508,0,383
2153,Europe,Belarus,994037,0,1327
2154,Europe,Latvia,977833,0,194
2165,Europe,Moldova,620419,0,104164
2166,Europe,Estonia,618218,0,90227
2175,Europe,Bosnia and Herzegovina,402890,0,7467
2177,Europe,North Macedonia,348215,0,1471
2180,Europe,Albania,334726,0,1696
2182,Europe,Luxembourg,319959,0,2037
2184,Europe,Montenegro,291820,0,583
2193,Europe,Iceland,209191,0,-1
2206,Europe,Malta,118574,0,588
2209,Europe,Channel Islands,101717,0,168
2231,Europe,Andorra,48015,0,287
2241,Europe,Isle of Man,38008,0,-1
2243,Europe,Faeroe Islands,34658,0,-1
2253,Europe,San Marino,24247,0,24
2256,Europe,Liechtenstein,21437,0,1
2257,Europe,Gibraltar,20550,0,3858
2266,Europe,Monaco,16760,0,701
2306,Europe,Vatican City,29,0,0
2313,Europe,France,40045596,0,85269
2314,Europe,Germany,38418899,0,25565
2318,Europe,Italy,25828252,0,126475
2319,Europe,UK,24569895,0,1004
2320,Europe,Russia,22900755,0,178807
2322,Europe,Spain,13845825,0,43847
2327,Europe,Netherlands,8610372,0,0
2331,Europe,Poland,6515598,0,1060073
2333,Europe,Austria,6072229,0,6932
2334,Europe,Greece,6025776,0,6199
2335,Europe,Portugal,5582987,0,2195
2336,Europe,Ukraine,5538357,0,19743
2340,Europe,Belgium,4797108,0,9230
2343,Europe,Czechia,4641335,0,1426
2346,Europe,Switzerland,4404327,0,4109
2349,Europe,Romania,3397365,0,7241
2350,Europe,Denmark,3181366,0,786
2352,Europe,Sweden,2708137,0,3245
2353,Europe,Serbia,2538899,0,5230
2357,Europe,Hungary,2202179,0,3472
2359,Europe,Slovakia,1866647,0,335
2362,Europe,Ireland,1711233,0,2300
2364,Europe,Norway,1483639,0,474
2365,Europe,Finland,1477021,0,4607
2367,Europe,Slovenia,1343626,0,8520
2368,Europe,Lithuania,1319481,0,1431
2369,Europe,Bulgaria,1306103,0,2129
2371,Europe,Croatia,1273508,0,383
2384,Europe,Belarus,994037,0,1327
2385,Europe,Latvia,977833,0,194
2396,Europe,Moldova,620419,0,104164
2397,Europe,Estonia,618218,0,90227
2406,Europe,Bosnia and Herzegovina,402890,0,7467
2408,Europe,North Macedonia,348215,0,1471
2411,Europe,Albania,334726,0,1696
2413,Europe,Luxembourg,319959,0,2037
2415,Europe,Montenegro,291820,0,583
2424,Europe,Iceland,209191,0,-1
2437,Europe,Malta,118574,0,588
2440,Europe,Channel Islands,101717,0,168
2462,Europe,Andorra,48015,0,287
2472,Europe,Isle of Man,38008,0,-1
2474,Europe,Faeroe Islands,34658,0,-1
2484,Europe,San Marino,24247,0,24
2487,Europe,Liechtenstein,21437,0,1
2488,Europe,Gibraltar,20550,0,3858
2497,Europe,Monaco,16760,0,701
2537,Europe,Vatican City,29,0,0
2544,Europe,France,40045596,0,85269
2545,Europe,Germany,38418899,0,25565
2549,Europe,Italy,25828252,0,126475
2550,Europe,UK,24569895,0,1004
2551,Europe,Russia,22900755,0,178807
2553,Europe,Spain,13845825,0,43847
2558,Europe,Netherlands,8610372,0,0
2562,Europe,Poland,6515598,0,1060073
2564,Europe,Austria,6072229,0,6932
2565,Europe,Greece,6025776,0,6199
2566,Europe,Portugal,5582987,0,2195
2567,Europe,Ukraine,5538357,0,19743
2571,Europe,Belgium,4797108,0,9230
2574,Europe,Czechia,4641335,0,1426
2577,Europe,Switzerland,4404327,0,4109
2580,Europe,Romania,3397365,0,7241
2581,Europe,Denmark,3181366,0,786
2583,Europe,Sweden,2708137,0,3245
2584,Europe,Serbia,2538899,0,5230
2588,Europe,Hungary,2202179,0,3472
2590,Europe,Slovakia,1866647,0,335
2593,Europe,Ireland,1711233,0,2300
2595,Europe,Norway,1483639,0,474
2596,Europe,Finland,1477021,0,4607
2598,Europe,Slovenia,1343626,0,8520
2599,Europe,Lithuania,1319481,0,1431
2600,Europe,Bulgaria,1306103,0,2129
2602,Europe,Croatia,1273508,0,383
2615,Europe,Belarus,994037,0,1327
2616,Europe,Latvia,977833,0,194
2627,Europe,Moldova,620419,0,104164
2628,Europe,Estonia,618218,0,90227
2637,Europe,Bosnia and Herzegovina,402890,0,7467
2639,Europe,North Macedonia,348215,0,1471
2642,Europe,Albania,334726,0,1696
2644,Europe,Luxembourg,319959,0,2037
2646,Europe,Montenegro,291820,0,583
2655,Europe,Iceland,209191,0,-1
2668,Europe,Malta,118574,0,588
2671,Europe,Channel Islands,101717,0,168
2693,Europe,Andorra,48015,0,287
2703,Europe,Isle of Man,38008,0,-1
2705,Europe,Faeroe Islands,34658,0,-1
2715,Europe,San Marino,24247,0,24
2718,Europe,Liechtenstein,21437,0,1
2719,Europe,Gibraltar,20550,0,3858
2728,Europe,Monaco,16760,0,701
2768,Europe,Vatican City,29,0,0
2775,Europe,France,40045596,0,85269
2776,Europe,Germany,38418899,0,25565
2780,Europe,Italy,25828252,0,126475
2781,Europe,UK,24569895,0,1004
2782,Europe,Russia,22900755,0,178807
2784,Europe,Spain,13845825,0,43847
2789,Europe,Netherlands,8610372,0,0
2793,Europe,Poland,6515598,0,1060073
2795,Europe,Austria,6072229,0,6932
2796,Europe,Greece,6025776,0,6199
2797,Europe,Portugal,5582987,0,2195
2798,Europe,Ukraine,5538357,0,19743
2802,Europe,Belgium,4797108,0,9230
2805,Europe,Czechia,4641335,0,1426
2808,Europe,Switzerland,4404327,0,4109
2811,Europe,Romania,3397365,0,7241
2812,Europe,Denmark,3181366,0,786
2814,Europe,Sweden,2708137,0,3245
2815,Europe,Serbia,2538899,0,5230
2819,Europe,Hungary,2202179,0,3472
2821,Europe,Slovakia,1866647,0,335
2824,Europe,Ireland,1711233,0,2300
2826,Europe,Norway,1483639,0,474
2827,Europe,Finland,1477021,0,4607
2829,Europe,Slovenia,1343626,0,8520
2830,Europe,Lithuania,1319481,0,1431
2831,Europe,Bulgaria,1306103,0,2129
2833,Europe,Croatia,1273508,0,383
2846,Europe,Belarus,994037,0,1327
2847,Europe,Latvia,977833,0,194
2858,Europe,Moldova,620419,0,104164
2859,Europe,Estonia,618218,0,90227
