Id, Region, Country, TotalCases, TotalTests, ActiveCases
1181,Europe,Ukraine,5538357,32603805,19743
1185,Europe,Belgium,4797108,37018657,9768
1188,Europe,Czechia,4641335,57196320,1426
1191,Europe,Switzerland,4404327,23833472,4109
1194,Europe,Romania,3397365,27242332,7241
1195,Europe,Denmark,3181366,129276961,781
1197,Europe,Sweden,2708137,19500873,3355
1198,Europe,Serbia,2538655,12852191,5444
1202,Europe,Hungary,2202179,11394556,3472
1204,Europe,Slovakia,1866647,7428816,335
1207,Europe,Ireland,1711233,13083449,2300
1209,Europe,Norway,1483639,11002430,499
1210,Europe,Finland,1477021,12090288,4857
1212,Europe,Slovenia,1343626,2847701,8520
1213,Europe,Lithuania,1319481,10444610,1431
1214,Europe,Bulgaria,1305937,11206260,2200
1216,Europe,Croatia,1273256,5588632,479
1229,Europe,Belarus,994037,13646641,1327
1230,Europe,Latvia,977833,7875439,194
1241,Europe,Moldova,620419,3216305,104164
1242,Europe,Estonia,618218,3707220,90227
1251,Europe,Bosnia and Herzegovina,402890,1884721,7467
1253,Europe,North Macedonia,348215,2226216,1471
1256,Europe,Albania,334726,1941032,1696
1258,Europe,Luxembourg,319959,4587145,2037
1260,Europe,Montenegro,291798,2752386,588
1269,Europe,Iceland,209191,1996384,-1
1282,Europe,Malta,118574,2137285,588
1285,Europe,Channel Islands,101717,1252808,168
1307,Europe,Andorra,48015,249838,287
1317,Europe,Isle of Man,38008,150753,-1
1319,Europe,Faeroe Islands,34658,778000,-1
1329,Europe,San Marino,24210,196855,72
1332,Europe,Liechtenstein,21437,112457,1
1333,Europe,Gibraltar,20550,534283,3858
1342,Europe,Monaco,16760,78646,701
1382,Europe,Vatican City,29,-1,0
1389,Europe,France,40044973,271490188,93541
1390,Europe,Germany,38417622,122332384,24325
1394,Europe,Italy,25828252,272079213,126475
1395,Europe,UK,24569895,522526476,2646
1396,Europe,Russia,22900755,273400000,178807
1398,Europe,Spain,13845825,471036328,43847
1403,Europe,Netherlands,8610372,25984435,0
1407,Europe,Poland,6515598,38699972,1060073
1409,Europe,Austria,6072229,211273524,6932
1410,Europe,Greece,6025776,102228365,7232
1411,Europe,Portugal,5582987,46082209,5162
1412,Europe,Ukraine,5538357,32603805,19743
1416,Europe,Belgium,4797108,37018657,9768
1419,Europe,Czechia,4641335,57196320,1426
1422,Europe,Switzerland,4404327,23833472,4109
1425,Europe,Romania,3397365,27242332,7241
1426,Europe,Denmark,3181366,129276961,781
1428,Europe,Sweden,2708137,19500873,3355
1429,Europe,Serbia,2538655,12852191,5444
1433,Europe,Hungary,2202179,11394556,3472
1435,Europe,Slovakia,1866647,7428816,335
1438,Europe,Ireland,1711233,13083449,2300
1440,Europe,Norway,1483639,11002430,499
